asked_price,final_price,pourcentage_difference,land_area,area,commune,price_per_area,rooms,supplemental_area
6475000.0,6950000,7.0,635.0,117.0,"Hässelby Södra Villastad, Stockholms kommun",59402.0,5.0,44.0
9950000.0,11300000,14.0,882.0,195.0,"Mälarhöjden - Hägersten, Stockholms kommun",57949.0,5.0,22.0
5795000.0,6200000,7.0,1224.0,90.0,"Segeltorp, Huddinge kommun",68889.0,6.0,90.0
11950000.0,12700000,6.0,542.0,110.0,"Gamla Enskede, Stockholms kommun",115455.0,5.0,48.0
7950000.0,8100000,2.0,690.0,157.0,"Skärholmshöjden., Stockholms kommun",51592.0,6.0,0.0
14500000.0,16400000,13.0,529.0,136.0,"Enskede Gård, Stockholms kommun",120588.0,9.0,64.0
5300000.0,4910000,7.0,688.0,140.0,"Johannesdal - Vårberg, Stockholms kommun",35071.0,6.0,24.0
7195000.0,7195000,0.0,588.0,114.0,"Vällingby - Råcksta Trädgårdsstad, Stockholms kommun",63114.0,7.0,65.0
6395000.0,6070000,5.0,1530.0,98.0,"Trollbäcken/Hanviken, Tyresö kommun",61939.0,5.0,97.0
7875000.0,8500000,8.0,926.0,111.0,"Spånga Solhem, Stockholms kommun",76577.0,6.0,59.0
7500000.0,6500000,13.0,599.0,124.0,"Solberga, Stockholms kommun",52419.0,8.0,124.0
12895000.0,16550000,28.0,610.0,164.0,"Mälarhöjden, Stockholms kommun",100915.0,7.0,17.0
7950000.0,7700000,3.0,689.0,154.0,"Helenelund, Sollentuna kommun",50000.0,5.0,6.0
13950000.0,13750000,1.0,710.0,148.0,"Stocksund, Danderyds kommun",92905.0,6.0,25.0
9900000.0,8600000,13.0,1243.0,80.0,"Edsviken, Sollentuna kommun",107500.0,4.0,102.0
6995000.0,6995000,0.0,579.0,68.0,"Älvsjö, Stockholms kommun",102868.0,5.0,68.0
8300000.0,8250000,1.0,395.0,63.0,"Eneby, Stockholms kommun",130952.0,5.0,63.0
7900000.0,7900000,0.0,802.0,111.0,"Barkarby, Järfälla kommun",71171.0,7.0,111.0
8950000.0,9900000,11.0,849.0,169.0,"Hässelby Södra Villastad, Stockholms kommun",58580.0,7.0,20.0
7495000.0,7495000,0.0,980.0,157.0,"Nälsta, Stockholms kommun",47739.0,5.0,7.0
5500000.0,6165000,12.0,802.0,118.0,"Snättringe, Huddinge kommun",52246.0,5.0,0.0
13500000.0,14000000,4.0,546.0,102.0,"Bromma - Ålsten, Stockholms kommun",137255.0,6.0,98.0
4495000.0,5900000,31.0,420.0,135.0,"Hässelby södra villastad, Stockholms kommun",43704.0,5.0,3.0
8750000.0,9200000,5.0,475.0,95.0,"Bromma Nockebyhov, Stockholms kommun",96842.0,5.0,49.0
6900000.0,8015000,16.0,470.0,85.0,"Bromma - Norra Ängby, Stockholms kommun",94294.0,6.0,80.0
14900000.0,14825000,1.0,265.0,157.0,"Bromma Smedslätten, Stockholms kommun",94427.0,7.0,71.0
8650000.0,8650000,0.0,642.0,104.0,"Älvsjö, Stockholms kommun",83173.0,5.0,90.0
8495000.0,8500000,0.0,1075.0,163.0,"Älta - Hedvigslund, Nacka kommun",52147.0,6.0,0.0
9950000.0,10000000,1.0,662.0,124.0,"Bromma - Bromma Kyrka, Stockholms kommun",80645.0,7.0,121.0
11995000.0,11995000,0.0,878.0,219.0,"Spånga - Bromsten, Stockholms kommun",54772.0,8.0,82.0
6500000.0,6500000,0.0,837.0,103.0,"Barkarby, Järfälla kommun",63107.0,,30.0
8150000.0,8150000,0.0,423.0,122.0,"Norra Ängby, Stockholms kommun",66803.0,7.0,6.0
11950000.0,11300000,5.0,1134.0,210.0,"Helenelund, Sollentuna kommun",53810.0,9.0,60.0
7495000.0,7495000,0.0,1402.0,140.0,"Skälby, Järfälla kommun",53536.0,6.0,0.0
6495000.0,6800000,5.0,8122.0,134.0,"Häggvik, Sollentuna kommun",50746.0,4.0,38.0
6975000.0,7310000,5.0,665.0,124.0,"Hässelby - Södra Villastad, Stockholms kommun",58952.0,6.0,42.0
5000000.0,5000000,0.0,814.0,117.0,"Farsta, Stockholms kommun",42735.0,5.0,26.0
15500000.0,15700000,1.0,422.0,116.0,"Bromma - Ålsten, Stockholms kommun",135345.0,6.0,57.0
18500000.0,19500000,5.0,1133.0,246.0,"Stocksund, Danderyds kommun",79268.0,10.0,150.0
22900000.0,21200000,7.0,1193.0,189.0,"Herserud, Lidingö kommun",112169.0,7.0,35.0
9850000.0,9850000,0.0,833.0,164.0,"Enskede - Stureby, Stockholms kommun",60061.0,6.0,6.0
7995000.0,8800000,10.0,338.0,139.0,"Ursvik, Sundbybergs kommun",63309.0,5.0,10.0
6995000.0,6825000,2.0,987.0,143.0,"Hässelby Södra Villastad, Stockholms kommun",47727.0,6.0,8.0
8390000.0,9840000,17.0,604.0,87.0,"Svedmyra, Stockholms kommun",113103.0,4.0,49.0
7700000.0,8600000,12.0,765.0,65.0,"Älvsjö - Örby, Stockholms kommun",132308.0,4.0,65.0
8495000.0,8500000,0.0,1423.0,170.0,"Lindalen, Tyresö kommun",50000.0,5.0,0.0
8495000.0,9250000,9.0,1055.0,140.0,"Barkarby, Järfälla kommun",66071.0,7.0,151.0
9750000.0,10300000,6.0,768.0,153.0,"Långbro, Stockholms kommun",67320.0,6.0,28.0
8050000.0,8050000,0.0,1087.0,174.0,"Hanviken, Tyresö kommun",46264.0,6.0,0.0
7025000.0,6950000,1.0,786.0,118.0,"Hanviken, Tyresö kommun",58898.0,7.0,118.0
6475000.0,6950000,7.0,635.0,117.0,"Hässelby Södra Villastad, Stockholms kommun",59402.0,5.0,44.0
9950000.0,11300000,14.0,882.0,195.0,"Mälarhöjden - Hägersten, Stockholms kommun",57949.0,5.0,22.0
5795000.0,6200000,7.0,1224.0,90.0,"Segeltorp, Huddinge kommun",68889.0,6.0,90.0
11950000.0,12700000,6.0,542.0,110.0,"Gamla Enskede, Stockholms kommun",115455.0,5.0,48.0
7950000.0,8100000,2.0,690.0,157.0,"Skärholmshöjden., Stockholms kommun",51592.0,6.0,0.0
14500000.0,16400000,13.0,529.0,136.0,"Enskede Gård, Stockholms kommun",120588.0,9.0,64.0
5300000.0,4910000,7.0,688.0,140.0,"Johannesdal - Vårberg, Stockholms kommun",35071.0,6.0,24.0
7195000.0,7195000,0.0,588.0,114.0,"Vällingby - Råcksta Trädgårdsstad, Stockholms kommun",63114.0,7.0,65.0
6395000.0,6070000,5.0,1530.0,98.0,"Trollbäcken/Hanviken, Tyresö kommun",61939.0,5.0,97.0
7875000.0,8500000,8.0,926.0,111.0,"Spånga Solhem, Stockholms kommun",76577.0,6.0,59.0
7500000.0,6500000,13.0,599.0,124.0,"Solberga, Stockholms kommun",52419.0,8.0,124.0
12895000.0,16550000,28.0,610.0,164.0,"Mälarhöjden, Stockholms kommun",100915.0,7.0,17.0
7950000.0,7700000,3.0,689.0,154.0,"Helenelund, Sollentuna kommun",50000.0,5.0,6.0
13950000.0,13750000,1.0,710.0,148.0,"Stocksund, Danderyds kommun",92905.0,6.0,25.0
9900000.0,8600000,13.0,1243.0,80.0,"Edsviken, Sollentuna kommun",107500.0,4.0,102.0
6995000.0,6995000,0.0,579.0,68.0,"Älvsjö, Stockholms kommun",102868.0,5.0,68.0
8300000.0,8250000,1.0,395.0,63.0,"Eneby, Stockholms kommun",130952.0,5.0,63.0
7900000.0,7900000,0.0,802.0,111.0,"Barkarby, Järfälla kommun",71171.0,7.0,111.0
8950000.0,9900000,11.0,849.0,169.0,"Hässelby Södra Villastad, Stockholms kommun",58580.0,7.0,20.0
7495000.0,7495000,0.0,980.0,157.0,"Nälsta, Stockholms kommun",47739.0,5.0,7.0
5500000.0,6165000,12.0,802.0,118.0,"Snättringe, Huddinge kommun",52246.0,5.0,0.0
13500000.0,14000000,4.0,546.0,102.0,"Bromma - Ålsten, Stockholms kommun",137255.0,6.0,98.0
4495000.0,5900000,31.0,420.0,135.0,"Hässelby södra villastad, Stockholms kommun",43704.0,5.0,3.0
8750000.0,9200000,5.0,475.0,95.0,"Bromma Nockebyhov, Stockholms kommun",96842.0,5.0,49.0
6900000.0,8015000,16.0,470.0,85.0,"Bromma - Norra Ängby, Stockholms kommun",94294.0,6.0,80.0
14900000.0,14825000,1.0,265.0,157.0,"Bromma Smedslätten, Stockholms kommun",94427.0,7.0,71.0
8650000.0,8650000,0.0,642.0,104.0,"Älvsjö, Stockholms kommun",83173.0,5.0,90.0
8495000.0,8500000,0.0,1075.0,163.0,"Älta - Hedvigslund, Nacka kommun",52147.0,6.0,0.0
9950000.0,10000000,1.0,662.0,124.0,"Bromma - Bromma Kyrka, Stockholms kommun",80645.0,7.0,121.0
11995000.0,11995000,0.0,878.0,219.0,"Spånga - Bromsten, Stockholms kommun",54772.0,8.0,82.0
6500000.0,6500000,0.0,837.0,103.0,"Barkarby, Järfälla kommun",63107.0,,30.0
8150000.0,8150000,0.0,423.0,122.0,"Norra Ängby, Stockholms kommun",66803.0,7.0,6.0
11950000.0,11300000,5.0,1134.0,210.0,"Helenelund, Sollentuna kommun",53810.0,9.0,60.0
7495000.0,7495000,0.0,1402.0,140.0,"Skälby, Järfälla kommun",53536.0,6.0,0.0
6495000.0,6800000,5.0,8122.0,134.0,"Häggvik, Sollentuna kommun",50746.0,4.0,38.0
6975000.0,7310000,5.0,665.0,124.0,"Hässelby - Södra Villastad, Stockholms kommun",58952.0,6.0,42.0
5000000.0,5000000,0.0,814.0,117.0,"Farsta, Stockholms kommun",42735.0,5.0,26.0
15500000.0,15700000,1.0,422.0,116.0,"Bromma - Ålsten, Stockholms kommun",135345.0,6.0,57.0
18500000.0,19500000,5.0,1133.0,246.0,"Stocksund, Danderyds kommun",79268.0,10.0,150.0
22900000.0,21200000,7.0,1193.0,189.0,"Herserud, Lidingö kommun",112169.0,7.0,35.0
9850000.0,9850000,0.0,833.0,164.0,"Enskede - Stureby, Stockholms kommun",60061.0,6.0,6.0
7995000.0,8800000,10.0,338.0,139.0,"Ursvik, Sundbybergs kommun",63309.0,5.0,10.0
6995000.0,6825000,2.0,987.0,143.0,"Hässelby Södra Villastad, Stockholms kommun",47727.0,6.0,8.0
8390000.0,9840000,17.0,604.0,87.0,"Svedmyra, Stockholms kommun",113103.0,4.0,49.0
7700000.0,8600000,12.0,765.0,65.0,"Älvsjö - Örby, Stockholms kommun",132308.0,4.0,65.0
8495000.0,8500000,0.0,1423.0,170.0,"Lindalen, Tyresö kommun",50000.0,5.0,0.0
