address,final_price,land_area,area,commune,price_per_area,rooms,sale_date,status
Markviksvägen 15,6950000,635.0,117.0,"Hässelby Södra Villastad, Stockholms kommun",59402.0,5.0,2024-01-22,Sold
Mälarhöjdsvägen 38,11300000,882.0,195.0,"Mälarhöjden - Hägersten, Stockholms kommun",57949.0,5.0,2024-03-16,Available
Häradsvägen 202,6200000,1224.0,90.0,"Segeltorp, Huddinge kommun",68889.0,6.0,2023-10-28,Sold
Hemmansvägen 18,12700000,542.0,110.0,"Gamla Enskede, Stockholms kommun",115455.0,5.0,2024-09-08,Sold
Alholmsbacken 8,8100000,690.0,157.0,"Skärholmshöjden., Stockholms kommun",51592.0,6.0,2023-02-05,Sold
Herrgårdsvägen 13,16400000,529.0,136.0,"Enskede Gård, Stockholms kommun",120588.0,9.0,2025-06-21,Available
Skogsslingan 14,4910000,688.0,140.0,"Johannesdal - Vårberg, Stockholms kommun",35071.0,6.0,2024-12-20,Available
Brunflogatan 50,7195000,588.0,114.0,"Vällingby - Råcksta Trädgårdsstad, Stockholms kommun",63114.0,7.0,2025-11-23,Sold
Knektvägen 8,6070000,1530.0,98.0,"Trollbäcken/Hanviken, Tyresö kommun",61939.0,5.0,2023-02-23,Sold
Vinstavägen 14,8500000,926.0,111.0,"Spånga Solhem, Stockholms kommun",76577.0,6.0,2024-11-27,Available
Pliggvägen 2,6500000,599.0,124.0,"Solberga, Stockholms kommun",52419.0,8.0,2025-02-07,Available
Ivar Hallströms väg 11,16550000,610.0,164.0,"Mälarhöjden, Stockholms kommun",100915.0,7.0,2024-11-21,Available
Bokvägen 1,7700000,689.0,154.0,"Helenelund, Sollentuna kommun",50000.0,5.0,2023-06-28,Sold
Enebacken 3,13750000,710.0,148.0,"Stocksund, Danderyds kommun",92905.0,6.0,2025-05-20,Sold
Nyodlingsvägen 11,8600000,1243.0,80.0,"Edsviken, Sollentuna kommun",107500.0,4.0,2023-09-24,Sold
Vivelvägen 124,6995000,579.0,68.0,"Älvsjö, Stockholms kommun",102868.0,5.0,2023-11-07,Sold
Enebyvägen 5,8250000,395.0,63.0,"Eneby, Stockholms kommun",130952.0,5.0,2023-12-04,Available
Flottiljvägen 5,7900000,802.0,111.0,"Barkarby, Järfälla kommun",71171.0,7.0,2024-07-27,Sold
Blåklocksvägen 11,9900000,849.0,169.0,"Hässelby Södra Villastad, Stockholms kommun",58580.0,7.0,2023-04-16,Sold
Furuvägen 6,7495000,980.0,157.0,"Nälsta, Stockholms kommun",47739.0,5.0,2023-02-03,Available
Ängsvägen 53,6165000,802.0,118.0,"Snättringe, Huddinge kommun",52246.0,5.0,2024-02-20,Available
Kummelvägen 42,14000000,546.0,102.0,"Bromma - Ålsten, Stockholms kommun",137255.0,6.0,2024-05-16,Sold
Småstuguvägen 21,5900000,420.0,135.0,"Hässelby södra villastad, Stockholms kommun",43704.0,5.0,2025-11-21,Sold
Drottningholmsvägen 556,9200000,475.0,95.0,"Bromma Nockebyhov, Stockholms kommun",96842.0,5.0,2023-07-24,Available
Tegnebyvägen 50,8015000,470.0,85.0,"Bromma - Norra Ängby, Stockholms kommun",94294.0,6.0,2023-03-20,Sold
Strömkarlsvägen 34,14825000,265.0,157.0,"Bromma Smedslätten, Stockholms kommun",94427.0,7.0,2025-10-18,Sold
Vivelvägen 13B,8650000,642.0,104.0,"Älvsjö, Stockholms kommun",83173.0,5.0,2025-02-24,Sold
Tellusvägen 7,8500000,1075.0,163.0,"Älta - Hedvigslund, Nacka kommun",52147.0,6.0,2025-03-22,Available
Norlindsvägen 33,10000000,662.0,124.0,"Bromma - Bromma Kyrka, Stockholms kommun",80645.0,7.0,2024-07-20,Sold
Rågångsvägen 17B,11995000,878.0,219.0,"Spånga - Bromsten, Stockholms kommun",54772.0,8.0,2025-08-01,Sold
Järpvägen 3,6500000,837.0,103.0,"Barkarby, Järfälla kommun",63107.0,,2023-06-30,Sold
Långskeppsgatan 31,8150000,423.0,122.0,"Norra Ängby, Stockholms kommun",66803.0,7.0,2024-06-27,Sold
Tallvägen 1A,11300000,1134.0,210.0,"Helenelund, Sollentuna kommun",53810.0,9.0,2025-08-28,Sold
Saturnushöjden 3,7495000,1402.0,140.0,"Skälby, Järfälla kommun",53536.0,6.0,2023-03-08,Sold
Hästhagsvägen 25B,6800000,8122.0,134.0,"Häggvik, Sollentuna kommun",50746.0,4.0,2025-08-16,Available
Valfrid Brodds väg 42,7310000,665.0,124.0,"Hässelby - Södra Villastad, Stockholms kommun",58952.0,6.0,2023-12-27,Available
Hagforsgatan 13,5000000,814.0,117.0,"Farsta, Stockholms kommun",42735.0,5.0,2025-12-30,Sold
Storskogsvägen 22,15700000,422.0,116.0,"Bromma - Ålsten, Stockholms kommun",135345.0,6.0,2024-09-02,Available
Hjortstigen 16,19500000,1133.0,246.0,"Stocksund, Danderyds kommun",79268.0,10.0,2025-08-05,Available
Herserudsvägen 36,21200000,1193.0,189.0,"Herserud, Lidingö kommun",112169.0,7.0,2025-03-06,Sold
Söråkersvägen 2,9850000,833.0,164.0,"Enskede - Stureby, Stockholms kommun",60061.0,6.0,2023-04-19,Sold
Forskningsringen 25,8800000,338.0,139.0,"Ursvik, Sundbybergs kommun",63309.0,5.0,2024-09-17,Sold
Åbroddsvägen 23,6825000,987.0,143.0,"Hässelby Södra Villastad, Stockholms kommun",47727.0,6.0,2024-06-23,Sold
Ösmogatan 6,9840000,604.0,87.0,"Svedmyra, Stockholms kommun",113103.0,4.0,2025-03-11,Sold
Flensvägen 40,8600000,765.0,65.0,"Älvsjö - Örby, Stockholms kommun",132308.0,4.0,2025-10-08,Available
Gränsvägen 25B,8500000,1423.0,170.0,"Lindalen, Tyresö kommun",50000.0,5.0,2025-06-22,Sold
Fallskärmsvägen 1,9250000,1055.0,140.0,"Barkarby, Järfälla kommun",66071.0,7.0,2024-10-02,Available
Långbrodalsvägen 35,10300000,768.0,153.0,"Långbro, Stockholms kommun",67320.0,6.0,2024-03-26,Available
Törnes väg 18,8050000,1087.0,174.0,"Hanviken, Tyresö kommun",46264.0,6.0,2024-12-24,Available
Sandstigen 2B,6950000,786.0,118.0,"Hanviken, Tyresö kommun",58898.0,7.0,2025-06-19,Available
Markviksvägen 15,6950000,635.0,117.0,"Hässelby Södra Villastad, Stockholms kommun",59402.0,5.0,2025-08-26,Available
Mälarhöjdsvägen 38,11300000,882.0,195.0,"Mälarhöjden - Hägersten, Stockholms kommun",57949.0,5.0,2024-10-29,Available
Häradsvägen 202,6200000,1224.0,90.0,"Segeltorp, Huddinge kommun",68889.0,6.0,2023-03-23,Available
Hemmansvägen 18,12700000,542.0,110.0,"Gamla Enskede, Stockholms kommun",115455.0,5.0,2023-07-22,Sold
Alholmsbacken 8,8100000,690.0,157.0,"Skärholmshöjden., Stockholms kommun",51592.0,6.0,2023-06-16,Available
Herrgårdsvägen 13,16400000,529.0,136.0,"Enskede Gård, Stockholms kommun",120588.0,9.0,2024-06-22,Sold
Skogsslingan 14,4910000,688.0,140.0,"Johannesdal - Vårberg, Stockholms kommun",35071.0,6.0,2024-10-28,Available
Brunflogatan 50,7195000,588.0,114.0,"Vällingby - Råcksta Trädgårdsstad, Stockholms kommun",63114.0,7.0,2025-08-11,Sold
Knektvägen 8,6070000,1530.0,98.0,"Trollbäcken/Hanviken, Tyresö kommun",61939.0,5.0,2024-06-25,Sold
Vinstavägen 14,8500000,926.0,111.0,"Spånga Solhem, Stockholms kommun",76577.0,6.0,2024-11-26,Sold
Pliggvägen 2,6500000,599.0,124.0,"Solberga, Stockholms kommun",52419.0,8.0,2025-10-16,Sold
Ivar Hallströms väg 11,16550000,610.0,164.0,"Mälarhöjden, Stockholms kommun",100915.0,7.0,2024-07-14,Available
Bokvägen 1,7700000,689.0,154.0,"Helenelund, Sollentuna kommun",50000.0,5.0,2023-02-18,Available
Enebacken 3,13750000,710.0,148.0,"Stocksund, Danderyds kommun",92905.0,6.0,2023-06-06,Sold
Nyodlingsvägen 11,8600000,1243.0,80.0,"Edsviken, Sollentuna kommun",107500.0,4.0,2024-12-19,Sold
Vivelvägen 124,6995000,579.0,68.0,"Älvsjö, Stockholms kommun",102868.0,5.0,2023-12-20,Available
Enebyvägen 5,8250000,395.0,63.0,"Eneby, Stockholms kommun",130952.0,5.0,2024-10-20,Sold
Flottiljvägen 5,7900000,802.0,111.0,"Barkarby, Järfälla kommun",71171.0,7.0,2025-02-16,Available
Blåklocksvägen 11,9900000,849.0,169.0,"Hässelby Södra Villastad, Stockholms kommun",58580.0,7.0,2025-05-08,Sold
Furuvägen 6,7495000,980.0,157.0,"Nälsta, Stockholms kommun",47739.0,5.0,2024-09-17,Sold
Ängsvägen 53,6165000,802.0,118.0,"Snättringe, Huddinge kommun",52246.0,5.0,2023-03-05,Sold
Kummelvägen 42,14000000,546.0,102.0,"Bromma - Ålsten, Stockholms kommun",137255.0,6.0,2023-01-17,Sold
Småstuguvägen 21,5900000,420.0,135.0,"Hässelby södra villastad, Stockholms kommun",43704.0,5.0,2024-09-06,Available
Drottningholmsvägen 556,9200000,475.0,95.0,"Bromma Nockebyhov, Stockholms kommun",96842.0,5.0,2025-05-28,Sold
Tegnebyvägen 50,8015000,470.0,85.0,"Bromma - Norra Ängby, Stockholms kommun",94294.0,6.0,2023-10-03,Sold
Strömkarlsvägen 34,14825000,265.0,157.0,"Bromma Smedslätten, Stockholms kommun",94427.0,7.0,2024-03-08,Sold
Vivelvägen 13B,8650000,642.0,104.0,"Älvsjö, Stockholms kommun",83173.0,5.0,2023-08-01,Available
Tellusvägen 7,8500000,1075.0,163.0,"Älta - Hedvigslund, Nacka kommun",52147.0,6.0,2025-10-20,Available
Norlindsvägen 33,10000000,662.0,124.0,"Bromma - Bromma Kyrka, Stockholms kommun",80645.0,7.0,2025-04-04,Available
Rågångsvägen 17B,11995000,878.0,219.0,"Spånga - Bromsten, Stockholms kommun",54772.0,8.0,2025-06-13,Sold
Järpvägen 3,6500000,837.0,103.0,"Barkarby, Järfälla kommun",63107.0,,2024-10-10,Sold
Långskeppsgatan 31,8150000,423.0,122.0,"Norra Ängby, Stockholms kommun",66803.0,7.0,2024-04-04,Available
Tallvägen 1A,11300000,1134.0,210.0,"Helenelund, Sollentuna kommun",53810.0,9.0,2024-12-18,Sold
Saturnushöjden 3,7495000,1402.0,140.0,"Skälby, Järfälla kommun",53536.0,6.0,2025-06-28,Available
Hästhagsvägen 25B,6800000,8122.0,134.0,"Häggvik, Sollentuna kommun",50746.0,4.0,2025-07-25,Sold
Valfrid Brodds väg 42,7310000,665.0,124.0,"Hässelby - Södra Villastad, Stockholms kommun",58952.0,6.0,2025-01-14,Available
Hagforsgatan 13,5000000,814.0,117.0,"Farsta, Stockholms kommun",42735.0,5.0,2024-05-08,Sold
Storskogsvägen 22,15700000,422.0,116.0,"Bromma - Ålsten, Stockholms kommun",135345.0,6.0,2024-04-19,Sold
Hjortstigen 16,19500000,1133.0,246.0,"Stocksund, Danderyds kommun",79268.0,10.0,2024-02-09,Available
Herserudsvägen 36,21200000,1193.0,189.0,"Herserud, Lidingö kommun",112169.0,7.0,2024-09-07,Sold
Söråkersvägen 2,9850000,833.0,164.0,"Enskede - Stureby, Stockholms kommun",60061.0,6.0,2025-08-21,Sold
Forskningsringen 25,8800000,338.0,139.0,"Ursvik, Sundbybergs kommun",63309.0,5.0,2025-01-19,Sold
Åbroddsvägen 23,6825000,987.0,143.0,"Hässelby Södra Villastad, Stockholms kommun",47727.0,6.0,2025-07-13,Sold
Ösmogatan 6,9840000,604.0,87.0,"Svedmyra, Stockholms kommun",113103.0,4.0,2025-11-17,Available
Flensvägen 40,8600000,765.0,65.0,"Älvsjö - Örby, Stockholms kommun",132308.0,4.0,2025-02-27,Sold
Gränsvägen 25B,8500000,1423.0,170.0,"Lindalen, Tyresö kommun",50000.0,5.0,2024-08-25,Sold
Fallskärmsvägen 1,9250000,1055.0,140.0,"Barkarby, Järfälla kommun",66071.0,7.0,2024-09-25,Sold
Långbrodalsvägen 35,10300000,768.0,153.0,"Långbro, Stockholms kommun",67320.0,6.0,2023-01-24,Sold
Törnes väg 18,8050000,1087.0,174.0,"Hanviken, Tyresö kommun",46264.0,6.0,2024-12-08,Sold
Sandstigen 2B,6950000,786.0,118.0,"Hanviken, Tyresö kommun",58898.0,7.0,2025-02-20,Sold
