Unnamed: 0,address,final_price,commune,rooms
0.0,Markviksvägen 15,6950000,"Hässelby Södra Villastad, Stockholms kommun",5.0
1.0,Mälarhöjdsvägen 38,11300000,"Mälarhöjden - Hägersten, Stockholms kommun",5.0
2.0,Häradsvägen 202,6200000,"Segeltorp, Huddinge kommun",6.0
3.0,Hemmansvägen 18,12700000,"Gamla Enskede, Stockholms kommun",5.0
4.0,Alholmsbacken 8,8100000,"Skärholmshöjden., Stockholms kommun",6.0
5.0,Herrgårdsvägen 13,16400000,"Enskede Gård, Stockholms kommun",9.0
6.0,Skogsslingan 14,4910000,"Johannesdal - Vårberg, Stockholms kommun",6.0
7.0,Brunflogatan 50,7195000,"Vällingby - Råcksta Trädgårdsstad, Stockholms kommun",7.0
8.0,Knektvägen 8,6070000,"Trollbäcken/Hanviken, Tyresö kommun",5.0
9.0,Vinstavägen 14,8500000,"Spånga Solhem, Stockholms kommun",6.0
10.0,Pliggvägen 2,6500000,"Solberga, Stockholms kommun",8.0
11.0,Ivar Hallströms väg 11,16550000,"Mälarhöjden, Stockholms kommun",7.0
12.0,Bokvägen 1,7700000,"Helenelund, Sollentuna kommun",5.0
13.0,Enebacken 3,13750000,"Stocksund, Danderyds kommun",6.0
14.0,Nyodlingsvägen 11,8600000,"Edsviken, Sollentuna kommun",4.0
15.0,Vivelvägen 124,6995000,"Älvsjö, Stockholms kommun",5.0
16.0,Enebyvägen 5,8250000,"Eneby, Stockholms kommun",5.0
17.0,Flottiljvägen 5,7900000,"Barkarby, Järfälla kommun",7.0
18.0,Blåklocksvägen 11,9900000,"Hässelby Södra Villastad, Stockholms kommun",7.0
19.0,Furuvägen 6,7495000,"Nälsta, Stockholms kommun",5.0
20.0,Ängsvägen 53,6165000,"Snättringe, Huddinge kommun",5.0
21.0,Kummelvägen 42,14000000,"Bromma - Ålsten, Stockholms kommun",6.0
22.0,Småstuguvägen 21,5900000,"Hässelby södra villastad, Stockholms kommun",5.0
23.0,Drottningholmsvägen 556,9200000,"Bromma Nockebyhov, Stockholms kommun",5.0
24.0,Tegnebyvägen 50,8015000,"Bromma - Norra Ängby, Stockholms kommun",6.0
25.0,Strömkarlsvägen 34,14825000,"Bromma Smedslätten, Stockholms kommun",7.0
26.0,Vivelvägen 13B,8650000,"Älvsjö, Stockholms kommun",5.0
27.0,Tellusvägen 7,8500000,"Älta - Hedvigslund, Nacka kommun",6.0
28.0,Norlindsvägen 33,10000000,"Bromma - Bromma Kyrka, Stockholms kommun",7.0
29.0,Rågångsvägen 17B,11995000,"Spånga - Bromsten, Stockholms kommun",8.0
30.0,Järpvägen 3,6500000,"Barkarby, Järfälla kommun",
31.0,Långskeppsgatan 31,8150000,"Norra Ängby, Stockholms kommun",7.0
32.0,Tallvägen 1A,11300000,"Helenelund, Sollentuna kommun",9.0
33.0,Saturnushöjden 3,7495000,"Skälby, Järfälla kommun",6.0
34.0,Hästhagsvägen 25B,6800000,"Häggvik, Sollentuna kommun",4.0
35.0,Valfrid Brodds väg 42,7310000,"Hässelby - Södra Villastad, Stockholms kommun",6.0
36.0,Hagforsgatan 13,5000000,"Farsta, Stockholms kommun",5.0
37.0,Storskogsvägen 22,15700000,"Bromma - Ålsten, Stockholms kommun",6.0
38.0,Hjortstigen 16,19500000,"Stocksund, Danderyds kommun",10.0
39.0,Herserudsvägen 36,21200000,"Herserud, Lidingö kommun",7.0
40.0,Söråkersvägen 2,9850000,"Enskede - Stureby, Stockholms kommun",6.0
41.0,Forskningsringen 25,8800000,"Ursvik, Sundbybergs kommun",5.0
42.0,Åbroddsvägen 23,6825000,"Hässelby Södra Villastad, Stockholms kommun",6.0
43.0,Ösmogatan 6,9840000,"Svedmyra, Stockholms kommun",4.0
44.0,Flensvägen 40,8600000,"Älvsjö - Örby, Stockholms kommun",4.0
45.0,Gränsvägen 25B,8500000,"Lindalen, Tyresö kommun",5.0
46.0,Fallskärmsvägen 1,9250000,"Barkarby, Järfälla kommun",7.0
47.0,Långbrodalsvägen 35,10300000,"Långbro, Stockholms kommun",6.0
48.0,Törnes väg 18,8050000,"Hanviken, Tyresö kommun",6.0
49.0,Sandstigen 2B,6950000,"Hanviken, Tyresö kommun",7.0
0.1,Markviksvägen 15,6950000,"Hässelby Södra Villastad, Stockholms kommun",5.0
1.1,Mälarhöjdsvägen 38,11300000,"Mälarhöjden - Hägersten, Stockholms kommun",5.0
2.1,Häradsvägen 202,6200000,"Segeltorp, Huddinge kommun",6.0
3.1,Hemmansvägen 18,12700000,"Gamla Enskede, Stockholms kommun",5.0
4.1,Alholmsbacken 8,8100000,"Skärholmshöjden., Stockholms kommun",6.0
5.1,Herrgårdsvägen 13,16400000,"Enskede Gård, Stockholms kommun",9.0
6.1,Skogsslingan 14,4910000,"Johannesdal - Vårberg, Stockholms kommun",6.0
7.1,Brunflogatan 50,7195000,"Vällingby - Råcksta Trädgårdsstad, Stockholms kommun",7.0
8.1,Knektvägen 8,6070000,"Trollbäcken/Hanviken, Tyresö kommun",5.0
9.1,Vinstavägen 14,8500000,"Spånga Solhem, Stockholms kommun",6.0
10.1,Pliggvägen 2,6500000,"Solberga, Stockholms kommun",8.0
11.1,Ivar Hallströms väg 11,16550000,"Mälarhöjden, Stockholms kommun",7.0
12.1,Bokvägen 1,7700000,"Helenelund, Sollentuna kommun",5.0
13.1,Enebacken 3,13750000,"Stocksund, Danderyds kommun",6.0
14.1,Nyodlingsvägen 11,8600000,"Edsviken, Sollentuna kommun",4.0
15.1,Vivelvägen 124,6995000,"Älvsjö, Stockholms kommun",5.0
16.1,Enebyvägen 5,8250000,"Eneby, Stockholms kommun",5.0
17.1,Flottiljvägen 5,7900000,"Barkarby, Järfälla kommun",7.0
18.1,Blåklocksvägen 11,9900000,"Hässelby Södra Villastad, Stockholms kommun",7.0
19.1,Furuvägen 6,7495000,"Nälsta, Stockholms kommun",5.0
20.1,Ängsvägen 53,6165000,"Snättringe, Huddinge kommun",5.0
21.1,Kummelvägen 42,14000000,"Bromma - Ålsten, Stockholms kommun",6.0
22.1,Småstuguvägen 21,5900000,"Hässelby södra villastad, Stockholms kommun",5.0
23.1,Drottningholmsvägen 556,9200000,"Bromma Nockebyhov, Stockholms kommun",5.0
24.1,Tegnebyvägen 50,8015000,"Bromma - Norra Ängby, Stockholms kommun",6.0
25.1,Strömkarlsvägen 34,14825000,"Bromma Smedslätten, Stockholms kommun",7.0
26.1,Vivelvägen 13B,8650000,"Älvsjö, Stockholms kommun",5.0
27.1,Tellusvägen 7,8500000,"Älta - Hedvigslund, Nacka kommun",6.0
28.1,Norlindsvägen 33,10000000,"Bromma - Bromma Kyrka, Stockholms kommun",7.0
29.1,Rågångsvägen 17B,11995000,"Spånga - Bromsten, Stockholms kommun",8.0
30.1,Järpvägen 3,6500000,"Barkarby, Järfälla kommun",
31.1,Långskeppsgatan 31,8150000,"Norra Ängby, Stockholms kommun",7.0
32.1,Tallvägen 1A,11300000,"Helenelund, Sollentuna kommun",9.0
33.1,Saturnushöjden 3,7495000,"Skälby, Järfälla kommun",6.0
34.1,Hästhagsvägen 25B,6800000,"Häggvik, Sollentuna kommun",4.0
35.1,Valfrid Brodds väg 42,7310000,"Hässelby - Södra Villastad, Stockholms kommun",6.0
36.1,Hagforsgatan 13,5000000,"Farsta, Stockholms kommun",5.0
37.1,Storskogsvägen 22,15700000,"Bromma - Ålsten, Stockholms kommun",6.0
38.1,Hjortstigen 16,19500000,"Stocksund, Danderyds kommun",10.0
39.1,Herserudsvägen 36,21200000,"Herserud, Lidingö kommun",7.0
40.1,Söråkersvägen 2,9850000,"Enskede - Stureby, Stockholms kommun",6.0
41.1,Forskningsringen 25,8800000,"Ursvik, Sundbybergs kommun",5.0
42.1,Åbroddsvägen 23,6825000,"Hässelby Södra Villastad, Stockholms kommun",6.0
43.1,Ösmogatan 6,9840000,"Svedmyra, Stockholms kommun",4.0
44.1,Flensvägen 40,8600000,"Älvsjö - Örby, Stockholms kommun",4.0
45.1,Gränsvägen 25B,8500000,"Lindalen, Tyresö kommun",5.0
46.1,Fallskärmsvägen 1,9250000,"Barkarby, Järfälla kommun",7.0
47.1,Långbrodalsvägen 35,10300000,"Långbro, Stockholms kommun",6.0
48.1,Törnes väg 18,8050000,"Hanviken, Tyresö kommun",6.0
49.1,Sandstigen 2B,6950000,"Hanviken, Tyresö kommun",7.0
0.2,Vallmovägen 6,8400000,"Trångsund, Huddinge kommun",6.0
1.2,Boxergränd 8,6250000,"Sköndal - Norra Sköndal, Stockholms kommun",5.0
2.2,Ugglemossvägen 55,10900000,"Mälarhöjden, Stockholms kommun",6.0
3.2,Trollbäcksvägen 39A,7225000,"Hanviken/Trollbäcken, Tyresö kommun",5.0
4.2,Torparmors väg 11,7275000,"Vinsta, Stockholms kommun",6.0
5.2,Tallstubbsbacken 20,7975000,"Spånga Solhem, Stockholms kommun",5.0
6.2,Småkaksgränd 12,10100000,"Sköndal - Kakstan, Stockholms kommun",6.0
7.2,Virvelvindsvägen 24,22500000,"Bromma - Ålsten, Stockholms kommun",8.0
8.2,Sofiebergsvägen 40,8100000,"Stuvsta, Huddinge kommun",6.0
9.2,Doktor Abrahams väg 67,7900000,"Eneby, Stockholms kommun",5.0
10.2,Nidarosslingan 42,6395000,"Skälby, Järfälla kommun",5.0
11.2,Havsörnsvägen 31,7500000,"Fagersjö, Stockholms kommun",4.0
12.2,Markvägen 45,8550000,"Vällingby Nälsta, Stockholms kommun",6.0
13.2,Bovägen 4A,9030000,"Lindalen, Tyresö kommun",7.0
14.2,Fållnäsgatan 66,10450000,"Tallkrogen, Stockholms kommun",6.0
15.2,Hälleskåran 36,16900000,"Mälarhöjden, Stockholms kommun",7.0
16.2,Maj Brings Väg 16,9500000,"Sköndal, Stockholms kommun",6.0
